iter	Passed	Remaining
178	1690	7751
179	1699	7739
180	1707	7726
181	1715	7710
182	1724	7697
183	1732	7681
184	1740	7668
185	1749	7654
186	1757	7641
187	1765	7624
188	1774	7612
189	1782	7599
190	1790	7585
191	1798	7570
192	1807	7558
193	1815	7544
194	1824	7531
195	1832	7518
196	1841	7504
197	1849	7492
198	1857	7478
199	1866	7465
200	1874	7452
201	1883	7439
202	1892	7428
203	1900	7415
204	1908	7401
205	1917	7392
206	1926	7378
207	1934	7366
208	1942	7352
209	1951	7340
210	1959	7327
211	1968	7318
212	1977	7305
213	1985	7292
214	1993	7280
215	2004	7275
216	2013	7265
217	2022	7253
218	2030	7241
219	2039	7230
220	2047	7218
221	2056	7206
222	2065	7198
223	2073	7184
224	2082	7172
225	2090	7160
226	2099	7149
227	2107	7136
228	2116	7125
229	2124	7113
230	2134	7104
231	2142	7092
232	2150	7079
233	2159	7067
234	2168	7058
235	2176	7045
236	2184	7033
237	2193	7022
238	2203	7015
239	2211	7003
240	2220	6992
241	2229	6983
242	2238	6973
243	2247	6962
244	2255	6951
245	2265	6944
246	2273	6930
247	2281	6918
248	2289	6906
249	2298	6896
250	2307	6885
251	2315	6874
252	2323	6860
253	2333	6852
254	2341	6839
255	2349	6828
256	2359	6820
257	2368	6810
258	2376	6799
259	2385	6789
260	2396	6786
261	2404	6773
262	2413	6762
263	2421	6749
264	2430	6741
265	2438	6729
266	2447	6718
267	2456	6708
268	2465	6699
269	2473	6687
270	2482	6677
271	2492	6670
272	2500	6659
273	2509	6649
274	2518	6639
275	2528	6632
276	2536	6621
277	2545	6612
278	2555	6603
279	2564	6595
280	2573	6585
281	2582	6574
282	2597	6581
283	2607	6574
284	2616	6564
285	2625	6555
286	2634	6544
287	2643	6534
288	2652	6524
289	2662	6518
290	2671	6508
291	2679	6496
292	2688	6488
293	2697	6477
294	2706	6467
295	2714	6456
296	2723	6447
297	2732	6436
298	2740	6425
299	2749	6414
300	2758	6404
301	2766	6393
302	2774	6381
303	2782	6371
304	2791	6361
305	2800	6351
306	2809	6342
307	2818	6333
308	2827	6323
309	2836	6314
310	2845	6304
311	2854	6294
312	2863	6285
313	2872	6274
314	2880	6263
315	2890	6255
316	2898	6244
317	2907	6234
318	2914	6222
319	2924	6213
320	2933	6204
321	2941	6193
322	2950	6183
323	2959	6174
324	2967	6163
325	2976	6153
326	2985	6145
327	2994	6134
328	3002	6124
329	3011	6113
330	3020	6104
331	3029	6094
332	3037	6083
333	3045	6073
334	3054	6063
335	3063	6053
336	3071	6042
337	3079	6031
338	3088	6022
339	3097	6012
340	3105	6001
341	3114	5992
342	3123	5982
343	3131	5971
344	3139	5961
345	3148	5951
346	3157	5942
347	3166	5931
348	3174	5921
349	3185	5916
350	3194	5906
351	3202	5896
352	3211	5886
353	3220	5877
354	3228	5866
355	3236	5855
356	3245	5846
357	3254	5836
358	3262	5825
359	3270	5814
360	3279	5804
361	3288	5795
362	3296	5785
363	3305	5775
364	3316	5769
365	3324	5758
366	3333	5748
367	3340	5737
368	3350	5728
369	3358	5719
370	3367	5709
371	3376	5699
372	3385	5691
373	3394	5681
374	3403	5672
375	3413	5664
376	3422	5655
377	3431	5646
378	3440	5637
379	3451	5630
380	3459	5621
381	3468	5611
382	3478	5603
383	3487	5594
384	3496	5585
385	3506	5577
386	3516	5569
387	3525	5560
388	3535	5552
389	3545	5545
390	3553	5535
391	3561	5524
392	3570	5515
393	3580	5506
394	3588	5496
395	3596	5485
396	3605	5475
397	3614	5466
398	3622	5456
399	3634	5451
400	3644	5443
401	3652	5433
402	3661	5423
403	3669	5413
404	3679	5405
405	3687	5395
406	3696	5385
407	3705	5376
408	3714	5367
409	3722	5357
410	3731	5347
411	3740	5338
412	3749	5329
413	3757	5319
414	3766	5309
415	3775	5300
416	3783	5290
417	3792	5280
418	3801	5270
419	3810	5261
420	3818	5251
421	3827	5241
422	3835	5231
423	3845	5223
424	3853	5212
425	3861	5203
426	3870	5193
427	3879	5184
428	3887	5174
429	3896	5165
430	3906	5156
431	3915	5147
432	3924	5139
433	3933	5129
434	3943	5121
435	3951	5111
436	3959	5101
437	3967	5090
438	3979	5085
439	3988	5076
440	3997	5066
441	4006	5058
442	4015	5048
443	4023	5039
444	4032	5029
445	4042	5021
446	4051	5012
447	4060	5003
448	4070	4995
449	4079	4985
450	4088	4976
451	4096	4966
452	4105	4957
453	4114	4948
454	4122	4938
455	4132	4930
456	4142	4921
457	4150	4911
458	4158	4901
459	4168	4893
460	4177	4884
461	4185	4874
462	4193	4864
463	4203	4856
464	4211	4845
465	4220	4836
466	4228	4826
467	4238	4817
468	4246	4808
469	4255	4798
470	4263	4788
471	4273	4780
472	4281	4770
473	4290	4760
474	4299	4751
475	4307	4742
476	4316	4733
477	4325	4723
478	4335	4715
479	4343	4705
480	4351	4695
481	4360	4686
482	4369	4677
483	4377	4667
484	4386	4657
485	4395	4648
486	4404	4639
487	4412	4630
488	4421	4620
489	4431	4612
490	4440	4603
491	4449	4594
492	4457	4584
493	4467	4575
494	4475	4566
495	4483	4556
496	4492	4546
497	4502	4539
498	4511	4529
499	4519	4519
500	4528	4510
501	4537	4501
502	4545	4491
503	4554	4482
504	4563	4473
505	4572	4463
506	4580	4454
507	4589	4444
508	4601	4438
509	4612	4431
510	4629	4430
511	4641	4424
512	4651	4416
513	4661	4407
514	4671	4399
515	4680	4390
516	4689	4380
517	4699	4372
518	4708	4363
519	4717	4354
520	4731	4350
521	4741	4341
522	4750	4332
523	4761	4325
524	4770	4316
525	4779	4307
526	4788	4298
527	4798	4289
528	4808	4281
529	4817	4272
530	4827	4263
531	4835	4254
532	4844	4244
533	4853	4235
534	4863	4226
535	4871	4217
536	4881	4208
537	4890	4199
538	4899	4190
539	4909	4181
540	4917	4172
541	4927	4164
542	4936	4154
543	4945	4145
544	4954	4136
545	4964	4127
546	4973	4118
547	4982	4109
548	4993	4102
549	5002	4093
550	5011	4084
551	5021	4075
552	5030	4066
553	5039	4057
554	5048	4047
555	5058	4039
556	5067	4030
557	5077	4021
558	5086	4012
559	5095	4003
560	5105	3995
561	5114	3986
562	5125	3978
563	5133	3968
564	5142	3959
565	5151	3950
566	5163	3943
567	5173	3934
568	5181	3924
569	5191	3916
570	5200	3907
571	5209	3898
572	5220	3890
573	5231	3882
574	5241	3873
575	5255	3868
576	5264	3859
577	5274	3850
578	5284	3842
579	5294	3834
580	5304	3825
581	5314	3816
582	5325	3809
583	5335	3800
584	5345	3791
585	5358	3785
586	5368	3777
587	5378	3768
588	5389	3760
589	5399	3752
590	5409	3743
591	5420	3735
592	5431	3727
593	5440	3718
594	5449	3709
595	5458	3700
596	5467	3690
597	5475	3681
598	5485	3672
599	5494	3662
600	5503	3653
601	5512	3644
602	5521	3635
603	5529	3625
604	5538	3616
605	5548	3607
606	5558	3598
607	5567	3589
608	5576	3580
609	5586	3571
610	5594	3562
611	5603	3552
612	5613	3543
613	5622	3534
614	5631	3525
615	5639	3515
616	5649	3507
617	5658	3497
618	5668	3488
619	5678	3480
620	5687	3471
621	5696	3462
622	5705	3452
623	5715	3444
624	5724	3434
625	5734	3425
626	5743	3416
627	5753	3408
628	5763	3399
629	5773	3390
630	5782	3381
631	5791	3372
632	5800	3363
633	5810	3354
634	5820	3345
635	5830	3336
636	5839	3327
637	5849	3318
638	5858	3309
639	5867	3300
640	5878	3292
641	5887	3283
642	5897	3274
643	5906	3265
644	5916	3256
645	5926	3247
646	5936	3238
647	5945	3229
648	5955	3221
649	5966	3212
650	5977	3204
651	5987	3195
652	5996	3186
653	6004	3176
654	6015	3168
655	6024	3159
656	6033	3149
657	6043	3141
658	6052	3132
659	6061	3122
660	6070	3113
661	6080	3104
662	6089	3095
663	6099	3086
664	6109	3077
665	6117	3068
666	6126	3058
667	6135	3049
668	6145	3040
669	6154	3031
670	6163	3021
671	6172	3013
672	6182	3003
673	6192	2995
674	6201	2985
675	6211	2976
676	6219	2967
677	6228	2958
678	6237	2948
679	6246	2939
680	6256	2930
681	6264	2921
682	6274	2912
683	6284	2903
684	6293	2894
685	6302	2884
686	6312	2875
687	6321	2866
688	6331	2857
689	6341	2849
690	6350	2839
691	6359	2830
692	6368	2821
693	6377	2812
694	6386	2802
695	6395	2793
696	6405	2784
697	6414	2775
698	6423	2765
699	6432	2756
700	6441	2747
701	6449	2738
702	6458	2728
703	6467	2719
704	6477	2710
705	6486	2701
706	6495	2691
707	6505	2683
708	6514	2673
709	6523	2664
710	6533	2655
711	6543	2646
712	6552	2637
713	6560	2627
714	6570	2619
715	6579	2609
716	6588	2600
717	6597	2591
718	6607	2582
719	6616	2573
720	6625	2563
721	6634	2554
722	6643	2545
723	6652	2536
724	6661	2526
725	6671	2518
726	6681	2508
727	6690	2499
728	6700	2490
729	6709	2481
730	6718	2472
731	6726	2462
732	6736	2453
733	6745	2444
734	6754	2435
735	6764	2426
736	6773	2417
737	6782	2407
738	6790	2398
739	6800	2389
740	6809	2380
741	6818	2370
742	6828	2362
743	6838	2352
744	6847	2343
745	6856	2334
746	6866	2325
747	6875	2316
748	6884	2307
749	6893	2297
750	6902	2288
751	6911	2279
752	6920	2270
753	6930	2261
754	6939	2251
755	6948	2242
756	6956	2233
757	6966	2224
758	6976	2215
759	6985	2206
760	6995	2196
761	7004	2187
762	7014	2178
763	7023	2169
764	7034	2160
765	7043	2151
766	7052	2142
767	7062	2133
768	7071	2124
769	7080	2114
770	7089	2105
771	7099	2096
772	7109	2087
773	7119	2078
774	7128	2069
775	7138	2060
776	7147	2051
777	7155	2041
778	7165	2032
779	7174	2023
780	7182	2014
781	7192	2005
782	7201	1995
783	7211	1986
784	7221	1977
785	7230	1968
786	7239	1959
787	7249	1950
788	7259	1941
789	7268	1932
790	7278	1923
791	7287	1913
792	7297	1904
793	7307	1895
794	7316	1886
795	7326	1877
796	7334	1868
797	7344	1859
798	7353	1849
799	7362	1840
800	7372	1831
801	7380	1822
802	7391	1813
803	7400	1804
804	7408	1794
805	7417	1785
806	7427	1776
807	7435	1766
808	7444	1757
809	7454	1748
810	7463	1739
811	7472	1730
812	7480	1720
813	7491	1711
814	7500	1702
815	7510	1693
816	7520	1684
817	7529	1675
818	7540	1666
819	7549	1657
820	7559	1648
821	7569	1639
822	7578	1629
823	7591	1621
824	7601	1612
825	7610	1603
826	7621	1594
827	7630	1585
828	7640	1576
829	7651	1567
830	7660	1557
831	7669	1548
832	7679	1539
833	7691	1530
834	7700	1521
835	7710	1512
836	7720	1503
837	7729	1494
838	7739	1485
839	7749	1476
840	7758	1466
841	7768	1457
842	7776	1448
843	7787	1439
844	7796	1430
845	7805	1420
846	7815	1411
847	7825	1402
848	7835	1393
849	7844	1384
850	7854	1375
851	7862	1365
852	7872	1356
853	7881	1347
854	7890	1338
855	7899	1328
856	7908	1319
857	7918	1310
858	7926	1301
859	7935	1291
860	7945	1282
861	7954	1273
862	7963	1264
863	7971	1254
864	7981	1245
865	7990	1236
866	7998	1227
867	8007	1217
868	8017	1208
869	8025	1199
870	8034	1189
871	8043	1180
872	8052	1171
873	8060	1162
874	8069	1152
875	8079	1143
876	8087	1134
877	8096	1125
878	8104	1115
879	8114	1106
880	8123	1097
881	8131	1087
882	8140	1078
883	8150	1069
884	8159	1060
885	8168	1050
886	8177	1041
887	8186	1032
888	8194	1023
889	8203	1013
890	8212	1004
891	8221	995
892	8230	986
893	8238	976
894	8247	967
895	8256	958
896	8264	949
897	8275	939
898	8283	930
899	8292	921
900	8301	912
901	8310	902
902	8319	893
903	8327	884
904	8336	875
905	8346	865
906	8354	856
907	8363	847
908	8373	838
909	8382	828
910	8390	819
911	8399	810
912	8409	801
913	8417	792
914	8426	782
915	8434	773
916	8444	764
917	8453	755
918	8462	745
919	8471	736
920	8480	727
921	8489	718
922	8498	708
923	8507	699
924	8516	690
925	8525	681
926	8533	671
927	8542	662
928	8550	653
929	8559	644
930	8568	635
931	8579	625
932	8587	616
933	8596	607
934	8606	598
935	8614	589
936	8623	579
937	8631	570
938	8641	561
939	8650	552
940	8659	542
941	8668	533
942	8677	524
943	8686	515
944	8695	506
945	8705	496
946	8714	487
947	8723	478
948	8733	469
949	8742	460
950	8751	450
951	8760	441
952	8770	432
953	8779	423
954	8787	414
955	8796	404
956	8807	395
957	8816	386
958	8824	377
959	8833	368
960	8842	358
961	8852	349
962	8860	340
963	8871	331
964	8880	322
965	8889	312
966	8898	303
967	8907	294
968	8916	285
969	8926	276
970	8936	266
971	8946	257
972	8955	248
973	8965	239
974	8974	230
975	8983	220
976	8992	211
977	9002	202
978	9011	193
979	9021	184
980	9030	174
981	9040	165
982	9050	156
983	9059	147
984	9070	138
985	9080	128
986	9090	119
987	9100	110
988	9110	101
989	9119	92
990	9132	82
991	9141	73
992	9150	64
993	9161	55
994	9170	46
995	9179	36
996	9188	27
997	9197	18
998	9207	9
999	9217	0
